idx,label,iters_used,attack_success,final_pred_prob,final_pred_label,keywords
0,1,1,True,0.094693623483181,0,异常、验证、账户、客服
1,0,5,False,0.0019144563702866435,0,无明显高风险关键词
2,1,5,False,0.542156457901001,1,点击、客服、通知
3,1,1,True,0.03612041473388672,0,异常、验证、立即、账户、客服、系统、短信
4,0,1,True,0.9988107681274414,1,风险、投资、收益、客服
5,1,2,True,0.3839587867259979,0,立即
6,0,5,False,0.0017907122382894158,0,客服
7,0,5,False,0.0018377465894445777,0,无明显高风险关键词
8,0,5,False,0.0019983286038041115,0,无明显高风险关键词
9,1,5,False,0.995310366153717,1,异常、账户、风险、客服
10,1,5,False,0.9988420605659485,1,验证、链接、点击、账号
11,0,5,False,0.0019796083215624094,0,无明显高风险关键词
12,1,5,False,0.9987144470214844,1,链接、点击
13,0,5,False,0.003171282121911645,0,无明显高风险关键词
14,1,1,True,0.007830571383237839,0,无明显高风险关键词
15,0,5,False,0.002010360360145569,0,客服
16,0,5,False,0.0016499494668096304,0,无明显高风险关键词
17,1,5,False,0.9990488886833191,1,链接、点击
18,1,5,False,0.9969419836997986,1,链接、点击、风险、投资、收益
19,1,5,False,0.9850463271141052,1,异常、验证、立即、账户、风险、客服、系统
20,0,5,False,0.002665917156264186,0,客服
21,0,5,False,0.004136707633733749,0,无明显高风险关键词
22,0,5,False,0.0015708775026723742,0,客服
23,1,2,True,0.05845285952091217,0,无明显高风险关键词
24,1,4,True,0.033163174986839294,0,投资、收益
25,1,5,False,0.9929681420326233,1,异常、验证、账户、客服
26,0,5,False,0.001717457314953208,0,无明显高风险关键词
27,0,5,False,0.11322775483131409,0,无明显高风险关键词
28,1,5,False,0.9918535351753235,1,客服
29,1,5,False,0.9688166975975037,1,链接、点击、短信
30,1,5,False,0.9973140358924866,1,风险、投资、回报
31,0,5,False,0.0016258701216429472,0,无明显高风险关键词
32,1,5,False,0.9964007139205933,1,链接、点击、立即、客服、短信
33,1,5,False,0.9983668923377991,1,验证、立即、系统、短信
34,0,5,False,0.001753910444676876,0,无明显高风险关键词
35,1,5,False,0.9943069815635681,1,客服、系统
36,0,5,False,0.0021616779267787933,0,通知
37,0,5,False,0.002612074837088585,0,无明显高风险关键词
38,1,4,True,0.011056341230869293,0,异常、账户
39,0,5,False,0.002467577811330557,0,无明显高风险关键词
40,1,4,True,0.15576542913913727,0,异常、验证、账户、系统
41,0,5,False,0.0023378359619528055,0,无明显高风险关键词
42,0,5,False,0.0026620416902005672,0,无明显高风险关键词
43,1,5,False,0.9973791837692261,1,异常、立即、账户、冻结、客服、短信
44,1,5,False,0.9988837838172913,1,验证、链接、点击、客服、短信
45,1,5,False,0.9989966750144958,1,客服
46,0,5,False,0.0018187437672168016,0,无明显高风险关键词
47,0,5,False,0.0026312698610126972,0,无明显高风险关键词
48,1,5,False,0.9847507476806641,1,链接、点击、客服
49,0,5,False,0.002259879605844617,0,客服
50,1,5,False,0.996987521648407,1,立即、风险、投资、回报
51,0,5,False,0.0015901883598417044,0,无明显高风险关键词
52,1,5,False,0.9969300627708435,1,立即、风险、系统
53,1,2,True,0.02389443852007389,0,异常、验证、账户、风险、客服、短信
54,0,5,False,0.0021050272043794394,0,客服
55,1,5,False,0.9989225268363953,1,链接、账户
56,1,5,False,0.9476373195648193,1,验证、客服
57,1,5,False,0.5161033868789673,1,客服
